uid,predict
00058b6dc03f36464bb60d5213ce6226,0.426338
00063f90a9d4d7e7a7e2df4aac223344,0.412501
000e693b3baccb2eb77a6879809a13b4,0.148992
0030dae972a1cf950a53bc96aa65a659,0.723808
00329317cf3b9630eb3610921fcff576,0.455003
003298b6cd74c9509dc62ba57c3d6891,0.2233665
0039ab3960f5743164de5e9a4f8dbdb7,0.327468
003b068c3350a2bee6355c21c36b2293,0.38176
0042ded3a061be434c4de470bb58843c,0.786157
004a53ea946543d5bc9694066edc9277,0.3628165
0054e4e5beba4b351b3d68786fb4f4e7,0.401151
0074d9cee1cbd61e65c9ffa0b2b6fac4,0.6219005
007d11fbd2950e0baded0532d89acb87,0.158163
008a830d3a55522528dd406ff356de68,0.410906
00968e43ed1b7d4a76cd481d34c788c7,0.459401
00982c2a4de0d5a5e284327fe5d6e77d,0.3702505
009b3ba60fd80db9de6387cf5dc604f1,0.446915
009d4f44986687e85c67a57139f1d837,0.3381495
00a3093f03b195859b39819d3376be4a,0.3867365
00a97e0dcaad003cc303f8d664ff0675,0.39568
00bcf9528a3c2e383b4a247edfda3ee3,0.382488
00c6f2e7736f0dd93106aef1439e8422,0.5653795
00d622892d437e5bdcd5c4de322b05b4,0.371492
00d7385b9f226d1c899b4a66fd06af4b,0.4170065
00e54c30c706f66abcd8514d9de82fac,0.378274
00ea5c685f92d6ada83d6c2581a53511,0.3960225
00ed1e2123f533834746a6bf74c2f56e,0.6767725
00ff326644d78fd6f16ce42feec8ade8,0.496961
01150a2699826374ccdf686a8d9c23eb,0.4093375
0116f1686afba3c7ce6660245aebc72b,0.358913
011841f7fdac7043eb36b094612577f2,0.362573
011a28a77d633fea7687f99c5596f89f,0.3890115
011ac676e308a6775f10d01143cf2649,0.4108435
011ea82b0cfd965f943f1551e5b5a014,0.343262
01211afba17077b05e00f1b104f893bd,0.766446
01249457a4a3b12b29e70c9b0fb95812,0.33673
012508561afe5921cb66b84b3b029d6b,0.6139795
01297034cbfd2f32b7970f67e9001d8c,0.39978
012a06f8a96502bbea8510a7a1c47c4d,0.381154
012b6e9da5be30180148b61cb4915688,0.3264945
012e4298e824bed43f54cd73a4adf860,0.3854705
01380a2ab5c5658f330712628585cf49,0.128592
0143ac4b69f3f83dc71db96b5c06aefe,0.4108235
0150ca8d345f5e4a2c65dd4f20189243,0.3484995
0158de0b24a1e851d18ae7cc3b7a3f38,0.706056
015c3cb6172393a5f30d0e1057391ace,0.15578
015d86f7ac46ec4bc9e6e9c9c5e95bc0,0.652427
016031ecfbb5de91bff2b8e5b78111ed,0.361991
016100dce3215d53ee4bd33161654c3b,0.256055
0175d4407addbb37f62c74b66e004bb4,0.370816
01788973464ba5c8b5cd8c38e97f632d,0.8158465
017b72f4f347d9d92dadcc93cd8992dd,0.3647285
017e9dfa6c154974c190703279301e32,0.327468
0182480cab6845c33f9c1ca28990a6a1,0.5029
019b84bbe1d5a83fa0c7932dd473704d,0.1310165
019bb9caec54d8256b291ad8c5390050,0.36388
01b11acf8ffcaefc348ab000fb2e81e4,0.4357905
01bbb4233f49472c0e98f6c3a97e5b21,0.836096
01c6bddabe8afb392857f4f8467830a1,0.357098
01c9a75c496c80703b2dee169370a0cb,0.4778575
01cab104e995c0dbd9d9570f7e632b4f,0.403859
01ceed2a58dd6742db49960e84326bfa,0.356153
01d0ef9a749b2a73cc9aa0e0a2f9c6a1,0.399988
01d46ec661bada9109f95ac45f9a46e6,0.416481
01e1b6ca664576e5271f54970e265731,0.3481765
01f4d13057cdb0a47365340c8904b638,0.733058
0203d1fad86c9c610f9082e71485875e,0.608145
022fb9f65e6f7bf73a296453820b5b37,0.7916595
02332f62f9d43c8f3b7c565f627cb422,0.390442
0233bf06351e49326b8a007fe241e8ed,0.333395
0237210c2c8927b8afb4b80102cc1dd8,0.7257805
023a71b47555b4a3e02f284159d3b967,0.168699
023def077d47ac30d6635c2298596def,0.4687985
024007ff1552cb6fb7e5092d0e018276,0.2289635
02400c7d52e8692657121816e0bdba27,0.3816935
02489e8c5b3e14a55e9d11633a8ebefb,0.320526
024e613e0cc11a3599bf55c4fd63158f,0.714675
024e7583e5713c1c1e45bcd581e2a9a6,0.805259
027101a67fd5136b633effcf37de35f1,0.173167
