uid,tag
00001c0d8d29528bb48fa7347fd85e04,0
00047b95848cb734e430eb2d727757c0,0
0013ba21b111109026f52926f89cb206,1
001503da8dc3b7bb4ef05b216777bc88,0
001793a39206d8967fc5a7a5197b8c03,0
001b61ef5688d8777d90b656aaa78d19,0
001d2cd5b80578744c49cd75344662c0,0
001d8e1be8a71850dc40a9475b923a57,1
00245b42985d95a21b898aa1fed89d55,0
002dce42dfb21444c87f57557d215977,0
00304a883a4c5a6ffbe87fd836b563c7,0
0034898d4bc1f1650055bcb82206ac87,1
003776c3555f25c7449c4661bbfdd485,0
00387fd218c5886287798d863d70e89b,1
003b5ad80ae58ece60e890668d0fc34b,0
003dd0f88c1962a12c68d5edf579e89e,1
003f69c1173bc9ce43aa11638d06099b,0
0044153a9c60c8a5b6343dfc87f8bb34,0
00475c054771f5ea863b8e7674b0dafa,1
0048277046e7dac42338312609dcc999,1
00495e2d9dc60954d9a67ea62d15e049,1
004fe4702444d57d27f1212621fbb6b3,0
0056c19ae732764ce2bb7ca42b56a849,0
0057a32de8a6d39f5baa0e2ee7ad702b,0
0063bdd14ec1bbba660bd4ae5269db64,1
0065863baeb0407018b0a63766f5d8e1,0
006602a0e87cf083727bb3a2d9c5a8da,0
006ae814433f4f493478dbf43013f7e8,0
0070af613398de3ca811a1b87bddd3df,1
00752ae319786ec79d5d48542793fdea,0
00762eb6fcbb00eab8190bc28233178d,1
00775483b70ebdaaaaf08e8eec2c8dee,1
0077a4f7af81ec1decaa843a6930fbcc,0
007ca1d1178df76cd0a5070786a42888,0
007fe3bd5a66372b47efc7b977a82c93,1
0085a90b78c775528a12a3907e385fd1,0
0088d5317d2a36ddc55acbb9a810a3c8,0
0089afb4b3374b483a3558ce4f40cf5d,0
008dd5cb71a786ad119f28a07282ac57,1
008fb991fe223e56a57784a6edb37d0d,1
0093a7ad283b8ba9e986eb92525c2f2a,0
009547326e086e590341f9a558e6933b,1
00993c237fca22efa25a153af0d6fbf6,1
00996377db38357a34efffb223a6d3e9,1
